Notes,County,County Code,Avg Daily Max Air Temperature (F),Avg Daily Min Air Temperature (F),Avg Daily Max Heat Index (F),County_Formatted,latitude,longitude
,"Glacier County, MT",30035.0,48.15,33.18,82.02,"Glacier County, MT",48.6561,-112.9653
,"Golden Valley County, MT",30037.0,55.9,39.09,83.86,"Golden Valley County, MT",46.4005,-109.1318
,"Granite County, MT",30039.0,47.52,31.7,81.3,"Granite County, MT",46.3869,-113.4202
,"Hill County, MT",30041.0,54.43,37.14,84.35,"Hill County, MT",48.5696,-110.1276
,"Jefferson County, MT",30043.0,49.59,33.05,81.58,"Jefferson County, MT",46.1606,-112.1499
,"Judith Basin County, MT",30045.0,51.17,35.56,82.5,"Judith Basin County, MT",47.0311,-110.2006
,"Lake County, MT",30047.0,52.11,36.3,82.95,"Lake County, MT",47.597,-114.1349
,"Lewis and Clark County, MT",30049.0,49.41,33.48,81.98,"Lewis and Clark County, MT",47.1899,-112.5344
,"Liberty County, MT",30051.0,54.24,37.42,83.7,"Liberty County, MT",48.5739,-111.0115
,"Lincoln County, MT",30053.0,49.29,33.11,82.06,"Lincoln County, MT",48.4634,-115.4496
,"McCone County, MT",30055.0,55.53,38.18,85.62,"McCone County, MT",47.5977,-105.8121
,"Madison County, MT",30057.0,47.39,31.36,81.14,"Madison County, MT",45.2788,-111.9151
,"Meagher County, MT",30059.0,48.67,33.26,80.91,"Meagher County, MT",46.6376,-110.8206
,"Mineral County, MT",30061.0,50.02,33.51,81.72,"Mineral County, MT",47.0981,-114.8631
,"Missoula County, MT",30063.0,50.36,34.36,81.86,"Missoula County, MT",47.1072,-113.9449
,"Musselshell County, MT",30065.0,57.76,39.79,84.98,"Musselshell County, MT",46.4464,-108.3212
,"Park County, MT",30067.0,46.1,30.77,81.31,"Park County, MT",45.597,-110.5064
,"Petroleum County, MT",30069.0,57.91,39.86,85.38,"Petroleum County, MT",47.175,-108.3333
,"Phillips County, MT",30071.0,54.84,37.0,85.1,"Phillips County, MT",48.229,-107.8905
,"Pondera County, MT",30073.0,52.72,36.08,83.29,"Pondera County, MT",48.2343,-112.4465
,"Powder River County, MT",30075.0,58.3,39.63,85.82,"Powder River County, MT",45.3947,-105.6109
,"Powell County, MT",30077.0,48.55,32.63,81.26,"Powell County, MT",46.9379,-113.0493
,"Prairie County, MT",30079.0,56.55,38.05,86.05,"Prairie County, MT",46.8682,-105.5572
