Notes,County,County Code,Avg Daily Max Air Temperature (F),Avg Daily Min Air Temperature (F),Avg Daily Max Heat Index (F),County_Formatted,latitude,longitude
,"Autauga County, AL",1001.0,73.65,55.27,92.4,"Autauga County, AL",32.5081,-86.6513
,"Baldwin County, AL",1003.0,75.38,60.64,92.83,"Baldwin County, AL",30.7725,-87.7842
,"Barbour County, AL",1005.0,74.94,56.75,92.03,"Barbour County, AL",31.8832,-85.3931
,"Bibb County, AL",1007.0,72.89,54.53,92.39,"Bibb County, AL",33.0388,-87.0967
,"Blount County, AL",1009.0,70.35,53.13,91.1,"Blount County, AL",34.0126,-86.5339
,"Bullock County, AL",1011.0,74.23,55.7,92.05,"Bullock County, AL",32.0945,-85.7131
,"Butler County, AL",1013.0,74.36,56.18,92.18,"Butler County, AL",31.7404,-86.6759
,"Calhoun County, AL",1015.0,70.79,53.14,90.93,"Calhoun County, AL",33.7625,-85.8417
,"Chambers County, AL",1017.0,72.02,54.64,90.86,"Chambers County, AL",32.9225,-85.3942
,"Cherokee County, AL",1019.0,69.9,53.07,90.88,"Cherokee County, AL",34.2345,-85.6478
,"Chilton County, AL",1021.0,72.59,54.81,91.79,"Chilton County, AL",32.8658,-86.665
,"Choctaw County, AL",1023.0,74.86,55.17,93.41,"Choctaw County, AL",32.0048,-88.286
,"Clarke County, AL",1025.0,75.36,55.43,93.04,"Clarke County, AL",31.5888,-87.8145
,"Clay County, AL",1027.0,70.32,53.11,89.83,"Clay County, AL",33.2947,-85.8155
,"Cleburne County, AL",1029.0,69.8,52.48,89.85,"Cleburne County, AL",33.7164,-85.4945
,"Coffee County, AL",1031.0,75.12,57.31,92.15,"Coffee County, AL",31.399,-85.993
,"Colbert County, AL",1033.0,69.94,53.33,92.05,"Colbert County, AL",34.7368,-87.5953
,"Conecuh County, AL",1035.0,74.95,57.06,92.4,"Conecuh County, AL",31.4682,-86.9508
,"Coosa County, AL",1037.0,72.14,54.8,91.31,"Coosa County, AL",32.9278,-86.2616
,"Covington County, AL",1039.0,75.45,56.9,92.37,"Covington County, AL",31.2565,-86.4472
,"Crenshaw County, AL",1041.0,74.26,56.02,91.96,"Crenshaw County, AL",31.7415,-86.2967
,"Cullman County, AL",1043.0,70.2,52.75,91.17,"Cullman County, AL",34.0862,-86.9042
,"Dale County, AL",1045.0,75.53,57.68,92.12,"Dale County, AL",31.4079,-85.6038
,"Dallas County, AL",1047.0,74.57,55.17,93.22,"Dallas County, AL",32.3888,-87.1278
,"DeKalb County, AL",1049.0,67.71,52.13,89.28,"DeKalb County, AL",34.5306,-85.7226
,"Elmore County, AL",1051.0,73.65,55.49,92.46,"Elmore County, AL",32.5877,-86.1519
,"Escambia County, AL",1053.0,75.6,57.52,92.55,"Escambia County, AL",31.1268,-87.158
,"Etowah County, AL",1055.0,70.28,52.98,91,"Etowah County, AL",34.0211,-86.0433
,"Fayette County, AL",1057.0,71.78,53.96,92.29,"Fayette County, AL",33.7201,-87.7385
,"Franklin County, AL",1059.0,69.78,53.11,91.43,"Franklin County, AL",34.4509,-87.844
,"Geneva County, AL",1061.0,76.31,57.67,92.51,"Geneva County, AL",31.0954,-85.839
,"Greene County, AL",1063.0,73.92,54.28,93.67,"Greene County, AL",32.8362,-88.0005
,"Hale County, AL",1065.0,73.9,54.55,93.35,"Hale County, AL",32.7441,-87.6382
,"Henry County, AL",1067.0,75.4,57.45,92.04,"Henry County, AL",31.5417,-85.2284
,"Houston County, AL",1069.0,76.55,57.89,92.46,"Houston County, AL",31.1562,-85.2809
,"Jackson County, AL",1071.0,68.12,51.84,90.02,"Jackson County, AL",34.7224,-86.0339
,"Jefferson County, AL",1073.0,71.61,54.25,91.76,"Jefferson County, AL",33.5455,-86.8602
,"Lamar County, AL",1075.0,72.15,53.32,92.82,"Lamar County, AL",33.7932,-88.0966
,"Lauderdale County, AL",1077.0,69.4,52.86,91.82,"Lauderdale County, AL",34.87,-87.5844
,"Lawrence County, AL",1079.0,69.87,52.95,91.44,"Lawrence County, AL",34.5516,-87.3181
,"Lee County, AL",1081.0,73.03,55.29,91.27,"Lee County, AL",32.5787,-85.3621
,"Limestone County, AL",1083.0,69.44,52.47,91.36,"Limestone County, AL",34.7752,-87.0313
,"Lowndes County, AL",1085.0,74.54,55.75,92.94,"Lowndes County, AL",32.1852,-86.6581
,"Macon County, AL",1087.0,74.24,55.79,92.47,"Macon County, AL",32.4142,-85.7275
,"Madison County, AL",1089.0,69.04,52.26,90.87,"Madison County, AL",34.7333,-86.5722
,"Marengo County, AL",1091.0,74.61,54.97,93.41,"Marengo County, AL",32.269,-87.7608
,"Marion County, AL",1093.0,70.59,53.39,91.74,"Marion County, AL",34.1214,-87.918
,"Marshall County, AL",1095.0,69.29,52.31,90.47,"Marshall County, AL",34.3531,-86.3454
,"Mobile County, AL",1097.0,76.11,59.68,92.99,"Mobile County, AL",30.7466,-88.2172
,"Monroe County, AL",1099.0,75.13,55.92,92.68,"Monroe County, AL",31.5303,-87.3817
,"Montgomery County, AL",1101.0,74.38,55.88,92.71,"Montgomery County, AL",32.2329,-86.2039
,"Morgan County, AL",1103.0,69.95,52.73,91.34,"Morgan County, AL",34.4947,-86.834
,"Perry County, AL",1105.0,73.82,54.63,92.92,"Perry County, AL",32.5916,-87.2881
,"Pickens County, AL",1107.0,73.17,53.67,93.31,"Pickens County, AL",33.2663,-88.0727
,"Pike County, AL",1109.0,74.38,56.31,91.81,"Pike County, AL",31.8394,-85.9279
,"Randolph County, AL",1111.0,70.9,53.39,90.22,"Randolph County, AL",33.3006,-85.4599
,"Russell County, AL",1113.0,74.49,56.08,92.3,"Russell County, AL",32.2863,-85.1791
,"St. Clair County, AL",1115.0,70.76,53.33,91.1,"St. Clair County, AL",33.6907,-86.3647
,"Shelby County, AL",1117.0,71.83,54.58,91.68,"Shelby County, AL",33.2829,-86.6796
,"Sumter County, AL",1119.0,74.17,54.46,93.66,"Sumter County, AL",32.6525,-88.2171
,"Talladega County, AL",1121.0,71.62,53.95,91.46,"Talladega County, AL",33.402,-86.1457
,"Tallapoosa County, AL",1123.0,72.42,54.83,91.35,"Tallapoosa County, AL",32.8004,-85.7978
,"Tuscaloosa County, AL",1125.0,72.85,54.22,92.75,"Tuscaloosa County, AL",33.3076,-87.5001
,"Walker County, AL",1127.0,71.85,54.04,92.31,"Walker County, AL",33.7599,-87.2766
,"Washington County, AL",1129.0,75.8,56.15,93.22,"Washington County, AL",31.4071,-88.1879
,"Wilcox County, AL",1131.0,75.06,55.29,93.25,"Wilcox County, AL",32.0483,-87.4009
,"Winston County, AL",1133.0,70.2,53.36,91.31,"Winston County, AL",34.151,-87.3736
,"Apache County, AZ",4001.0,62.27,44.54,83.28,"Apache County, AZ",35.3025,-109.4451
,"Cochise County, AZ",4003.0,73.48,53.03,85.88,"Cochise County, AZ",31.8901,-109.7497
,"Coconino County, AZ",4005.0,64.11,46.07,84.12,"Coconino County, AZ",35.6465,-112.0424
,"Gila County, AZ",4007.0,70.29,51.0,85.97,"Gila County, AZ",33.7446,-110.685
,"Graham County, AZ",4009.0,72.99,52.78,86.89,"Graham County, AZ",33.0361,-109.958
,"Greenlee County, AZ",4011.0,68.63,49.07,85.37,"Greenlee County, AZ",33.1001,-109.2714
,"La Paz County, AZ",4012.0,82.22,62.81,92.66,"La Paz County, AZ",33.6724,-113.9329
,"Maricopa County, AZ",4013.0,82.29,62.45,92.59,"Maricopa County, AZ",33.2798,-112.7681
,"Mohave County, AZ",4015.0,72.42,53.76,88.3,"Mohave County, AZ",35.6177,-113.9958
,"Navajo County, AZ",4017.0,64.32,46.7,83.64,"Navajo County, AZ",35.3134,-110.2972
,"Pima County, AZ",4019.0,78.86,58.87,89.43,"Pima County, AZ",31.9681,-111.7806
,"Pinal County, AZ",4021.0,80.7,60.72,91.4,"Pinal County, AZ",32.9849,-111.4931
,"Santa Cruz County, AZ",4023.0,72.82,52.16,85.02,"Santa Cruz County, AZ",31.5332,-110.812
,"Yavapai County, AZ",4025.0,70.01,51.61,85.92,"Yavapai County, AZ",34.7064,-112.4429
,"Yuma County, AZ",4027.0,84.26,63.31,93.52,"Yuma County, AZ",32.7539,-113.9364
,"Arkansas County, AR",5001.0,72.83,54.05,94.53,"Arkansas County, AR",34.2533,-91.3876
,"Ashley County, AR",5003.0,74.71,55.45,94.59,"Ashley County, AR",33.2027,-91.7957
,"Baxter County, AR",5005.0,69.11,50.41,92.92,"Baxter County, AR",36.233,-92.3172
,"Benton County, AR",5007.0,67.98,48.95,91.96,"Benton County, AR",36.2992,-94.2275
,"Boone County, AR",5009.0,67.98,49.62,91.8,"Boone County, AR",36.303,-93.0935
,"Bradley County, AR",5011.0,74.31,54.12,94.58,"Bradley County, AR",33.4342,-92.1667
,"Calhoun County, AR",5013.0,74.45,53.8,94.61,"Calhoun County, AR",33.5364,-92.5485
,"Carroll County, AR",5015.0,67.22,48.68,91.24,"Carroll County, AR",36.3108,-93.5564
,"Chicot County, AR",5017.0,74.51,55.19,94.59,"Chicot County, AR",33.2843,-91.295
,"Clark County, AR",5019.0,73.29,54.36,94.43,"Clark County, AR",34.056,-93.1614
,"Clay County, AR",5021.0,69.24,51.31,93.75,"Clay County, AR",36.3498,-90.4135
,"Cleburne County, AR",5023.0,69.22,52.15,92.82,"Cleburne County, AR",35.536,-92.0212
,"Cleveland County, AR",5025.0,73.38,53.17,94.6,"Cleveland County, AR",33.8844,-92.184
,"Columbia County, AR",5027.0,74.84,54.46,94.25,"Columbia County, AR",33.2362,-93.2328
,"Conway County, AR",5029.0,70.73,52.75,93.74,"Conway County, AR",35.2674,-92.6763
,"Craighead County, AR",5031.0,70.15,51.8,93.88,"Craighead County, AR",35.8474,-90.6602
,"Crawford County, AR",5033.0,69.9,51.87,93.24,"Crawford County, AR",35.5652,-94.242
,"Crittenden County, AR",5035.0,71.14,52.61,94.06,"Crittenden County, AR",35.1383,-90.2329
,"Cross County, AR",5037.0,71.04,52.3,94.05,"Cross County, AR",35.3175,-90.7719
,"Dallas County, AR",5039.0,73.31,53.24,94.28,"Dallas County, AR",33.976,-92.7174
,"Desha County, AR",5041.0,73.63,54.66,94.56,"Desha County, AR",33.8197,-91.3035
,"Drew County, AR",5043.0,73.93,54.64,94.55,"Drew County, AR",33.5851,-91.7146
,"Faulkner County, AR",5045.0,71.03,53.15,93.88,"Faulkner County, AR",35.1076,-92.3337
,"Franklin County, AR",5047.0,70.47,51.84,93.61,"Franklin County, AR",35.4872,-93.8748
,"Fulton County, AR",5049.0,68.26,50.2,92.66,"Fulton County, AR",36.3698,-91.8038
,"Garland County, AR",5051.0,71.27,53.4,93.06,"Garland County, AR",34.5809,-93.1061
,"Grant County, AR",5053.0,72.9,52.65,94.52,"Grant County, AR",34.2718,-92.4422
,"Greene County, AR",5055.0,69.55,51.92,93.78,"Greene County, AR",36.1166,-90.5266
,"Hempstead County, AR",5057.0,74.1,54.06,94.33,"Hempstead County, AR",33.7433,-93.7147
,"Hot Spring County, AR",5059.0,72.43,53.6,93.92,"Hot Spring County, AR",34.3241,-93.0135
,"Howard County, AR",5061.0,72.7,53.97,93.51,"Howard County, AR",34.0525,-93.9546
,"Independence County, AR",5063.0,70.04,52.64,93.96,"Independence County, AR",35.735,-91.5822
,"Izard County, AR",5065.0,69.14,51.27,93.25,"Izard County, AR",36.0656,-91.8977
,"Jackson County, AR",5067.0,70.71,52.25,94.32,"Jackson County, AR",35.6224,-91.2038
,"Jefferson County, AR",5069.0,72.87,53.1,94.46,"Jefferson County, AR",34.2766,-91.9612
,"Johnson County, AR",5071.0,69.11,51.71,92.51,"Johnson County, AR",35.5483,-93.4628
,"Lafayette County, AR",5073.0,75.16,54.3,94.47,"Lafayette County, AR",33.2538,-93.5929
,"Lawrence County, AR",5075.0,69.74,51.53,94.06,"Lawrence County, AR",36.0701,-91.0867
,"Lee County, AR",5077.0,71.97,53.5,94.19,"Lee County, AR",34.7694,-90.823
,"Lincoln County, AR",5079.0,73.33,53.85,94.64,"Lincoln County, AR",33.9818,-91.7095
,"Little River County, AR",5081.0,74.69,54.21,94.62,"Little River County, AR",33.7397,-94.2264
,"Logan County, AR",5083.0,71.41,51.58,93.54,"Logan County, AR",35.2226,-93.6541
,"Lonoke County, AR",5085.0,72.18,53.0,94.3,"Lonoke County, AR",34.7777,-91.8876
,"Madison County, AR",5087.0,66.2,49.17,90.11,"Madison County, AR",36.0208,-93.6975
,"Marion County, AR",5089.0,69.0,49.8,92.62,"Marion County, AR",36.2812,-92.7095
,"Miller County, AR",5091.0,75.31,53.92,94.59,"Miller County, AR",33.3159,-93.8695
,"Mississippi County, AR",5093.0,70.22,51.81,93.76,"Mississippi County, AR",35.6977,-90.1216
,"Monroe County, AR",5095.0,72.29,53.59,94.47,"Monroe County, AR",34.6711,-91.2128
,"Montgomery County, AR",5097.0,70.72,53.16,92.47,"Montgomery County, AR",34.5437,-93.6686
,"Nevada County, AR",5099.0,74.13,54.75,94.38,"Nevada County, AR",33.7056,-93.2912
,"Newton County, AR",5101.0,66.67,50.02,90.63,"Newton County, AR",35.9251,-93.2148
,"Ouachita County, AR",5103.0,74.35,53.95,94.68,"Ouachita County, AR",33.5896,-92.9107
,"Perry County, AR",5105.0,71.4,53.09,93.64,"Perry County, AR",34.9429,-92.881
,"Phillips County, AR",5107.0,72.53,54.12,94.3,"Phillips County, AR",34.3824,-90.8232
,"Pike County, AR",5109.0,72.37,54.2,93.46,"Pike County, AR",34.1469,-93.6329
,"Poinsett County, AR",5111.0,70.59,51.85,94,"Poinsett County, AR",35.5727,-90.6628
,"Polk County, AR",5113.0,69.89,52.55,91.57,"Polk County, AR",34.4578,-94.1985
,"Pope County, AR",5115.0,69.49,51.82,92.7,"Pope County, AR",35.4305,-93.0741
,"Prairie County, AR",5117.0,72.1,53.1,94.49,"Prairie County, AR",34.7916,-91.5346
,"Pulaski County, AR",5119.0,71.94,53.41,94.09,"Pulaski County, AR",34.7548,-92.3139
,"Randolph County, AR",5121.0,68.96,51.35,93.66,"Randolph County, AR",36.3067,-91.005
,"St. Francis County, AR",5123.0,71.59,52.91,94.18,"St. Francis County, AR",35.0082,-90.7238
,"Saline County, AR",5125.0,71.24,52.93,93.23,"Saline County, AR",34.6353,-92.6621
,"Scott County, AR",5127.0,70.64,52.47,92.61,"Scott County, AR",34.8835,-94.0785
,"Searcy County, AR",5129.0,67.92,50.77,91.76,"Searcy County, AR",35.9134,-92.6797
,"Sebastian County, AR",5131.0,71.66,52.07,93.97,"Sebastian County, AR",35.1908,-94.2342
,"Sevier County, AR",5133.0,73.54,54.75,94.27,"Sevier County, AR",33.9723,-94.2701
,"Sharp County, AR",5135.0,68.78,51.13,93.32,"Sharp County, AR",36.1977,-91.5126
,"Stone County, AR",5137.0,68.46,51.17,92.39,"Stone County, AR",35.9192,-92.2199
,"Union County, AR",5139.0,75.0,54.38,94.53,"Union County, AR",33.1979,-92.5813
,"Van Buren County, AR",5141.0,68.71,51.48,92.21,"Van Buren County, AR",35.5767,-92.5285
,"Washington County, AR",5143.0,67.59,49.54,91.44,"Washington County, AR",35.9952,-94.2401
,"White County, AR",5145.0,70.99,53.06,94.15,"White County, AR",35.2732,-91.7628
,"Woodruff County, AR",5147.0,71.65,52.8,94.46,"Woodruff County, AR",35.1797,-91.2326
,"Yell County, AR",5149.0,71.33,52.32,93.34,"Yell County, AR",35.0309,-93.4052
,"Alameda County, CA",6001.0,69.95,50.57,84.98,"Alameda County, CA",37.6798,-121.8648
,"Alpine County, CA",6003.0,50.28,32.27,80.08,"Alpine County, CA",38.6305,-119.8446
,"Amador County, CA",6005.0,68.24,49.42,87.25,"Amador County, CA",38.4637,-120.7334
,"Butte County, CA",6007.0,68.98,50.23,88.73,"Butte County, CA",39.7252,-121.5788
,"Calaveras County, CA",6009.0,67.71,47.72,86.91,"Calaveras County, CA",38.1718,-120.6567
,"Colusa County, CA",6011.0,73.28,51.05,89.47,"Colusa County, CA",39.1694,-122.2067
,"Contra Costa County, CA",6013.0,70.66,49.33,85.75,"Contra Costa County, CA",37.8886,-121.9129
,"Del Norte County, CA",6015.0,52.53,44.6,81.36,"Del Norte County, CA",41.6916,-123.9049
,"El Dorado County, CA",6017.0,60.58,43.17,85.27,"El Dorado County, CA",38.7852,-120.5254
,"Fresno County, CA",6019.0,68.07,47.64,90.45,"Fresno County, CA",36.7515,-119.6373
,"Glenn County, CA",6021.0,71.3,51.36,89.25,"Glenn County, CA",39.5921,-122.4405
,"Humboldt County, CA",6023.0,59.71,46.43,83.57,"Humboldt County, CA",40.7376,-123.8951
,"Imperial County, CA",6025.0,86.48,63.17,94.72,"Imperial County, CA",33.0271,-115.3605
,"Inyo County, CA",6027.0,70.39,51.09,88.72,"Inyo County, CA",36.6305,-117.5174
,"Kern County, CA",6029.0,75.22,53.82,89.7,"Kern County, CA",35.3032,-118.7204
,"Kings County, CA",6031.0,80.46,56.64,92.52,"Kings County, CA",36.1391,-119.7718
,"Lake County, CA",6033.0,66.08,47.67,84.79,"Lake County, CA",39.1258,-122.7929
,"Lassen County, CA",6035.0,56.72,38.47,82.13,"Lassen County, CA",40.4545,-120.6616
,"Los Angeles County, CA",6037.0,71.41,52.79,86.51,"Los Angeles County, CA",34.2663,-118.1424
,"Madera County, CA",6039.0,68.35,47.55,90.33,"Madera County, CA",37.2724,-119.6358
,"Marin County, CA",6041.0,63.61,48.0,82.46,"Marin County, CA",38.0685,-122.7009
,"Mariposa County, CA",6043.0,65.54,46.5,87.05,"Mariposa County, CA",37.5466,-119.9593
,"Mendocino County, CA",6045.0,64.11,46.64,84.21,"Mendocino County, CA",39.3833,-123.4391
,"Merced County, CA",6047.0,77.4,53.29,90.87,"Merced County, CA",37.1882,-120.609
,"Modoc County, CA",6049.0,57.13,38.54,82,"Modoc County, CA",41.5924,-120.7237
,"Mono County, CA",6051.0,52.13,34.69,80.82,"Mono County, CA",38.0906,-119.0359
,"Monterey County, CA",6053.0,69.56,50.85,86.58,"Monterey County, CA",36.3564,-121.494
,"Napa County, CA",6055.0,70.46,51.58,86.15,"Napa County, CA",38.5106,-122.3262
,"Nevada County, CA",6057.0,58.3,40.99,84.65,"Nevada County, CA",39.2666,-121.01
,"Orange County, CA",6059.0,69.52,55.9,84.28,"Orange County, CA",33.6664,-117.7196
,"Placer County, CA",6061.0,62.55,43.69,86.99,"Placer County, CA",39.0148,-120.7424
,"Plumas County, CA",6063.0,56.13,37.86,81.46,"Plumas County, CA",40.0231,-120.8054
,"Riverside County, CA",6065.0,79.04,57.83,90.93,"Riverside County, CA",33.754,-116.0203
,"Sacramento County, CA",6067.0,75.18,49.08,90.32,"Sacramento County, CA",38.3836,-121.2729
,"San Benito County, CA",6069.0,70.99,49.63,85.78,"San Benito County, CA",36.5945,-121.0306
,"San Bernardino County, CA",6071.0,77.08,56.71,90.26,"San Bernardino County, CA",34.8464,-116.1156
,"San Diego County, CA",6073.0,72.19,54.22,85.8,"San Diego County, CA",33.0185,-116.6934
,"San Francisco County, CA",6075.0,55.29,52.93,Missing,"San Francisco County, CA",37.7591,-122.4461
,"San Joaquin County, CA",6077.0,76.1,49.84,90.21,"San Joaquin County, CA",37.8911,-121.2517
,"San Luis Obispo County, CA",6079.0,70.92,51.86,85.87,"San Luis Obispo County, CA",35.3474,-120.336
,"San Mateo County, CA",6081.0,65.01,49.71,83.76,"San Mateo County, CA",37.4084,-122.3109
,"Santa Barbara County, CA",6083.0,69.58,52.22,83.9,"Santa Barbara County, CA",34.7446,-120.0357
,"Santa Clara County, CA",6085.0,70.68,50.0,85.63,"Santa Clara County, CA",37.1901,-121.7207
,"Santa Cruz County, CA",6087.0,69.55,48.74,85.18,"Santa Cruz County, CA",37.0686,-122.0334
,"Shasta County, CA",6089.0,64.89,46.19,86.67,"Shasta County, CA",40.7366,-122.0189
,"Sierra County, CA",6091.0,55.9,38.09,81.35,"Sierra County, CA",39.5877,-120.5103
,"Siskiyou County, CA",6093.0,57.95,38.98,82.83,"Siskiyou County, CA",41.5027,-122.5449
,"Solano County, CA",6095.0,73.34,49.33,88.06,"Solano County, CA",38.29,-121.9027
,"Sonoma County, CA",6097.0,64.5,50.12,84.19,"Sonoma County, CA",38.4826,-122.8587
,"Stanislaus County, CA",6099.0,75.93,53.52,90.04,"Stanislaus County, CA",37.6113,-120.8765
,"Sutter County, CA",6101.0,75.42,50.32,90.79,"Sutter County, CA",39.0209,-121.7078
,"Tehama County, CA",6103.0,67.73,49.2,88.5,"Tehama County, CA",40.1258,-122.2124
,"Trinity County, CA",6105.0,60.0,41.76,83.44,"Trinity County, CA",40.6758,-123.1435
,"Tulare County, CA",6107.0,66.13,45.9,90.34,"Tulare County, CA",36.2683,-118.8232
,"Tuolumne County, CA",6109.0,58.16,39.95,85.35,"Tuolumne County, CA",38.0348,-119.8851
,"Ventura County, CA",6111.0,70.7,49.63,84.66,"Ventura County, CA",34.4736,-119.084
,"Yolo County, CA",6113.0,74.28,50.87,89.37,"Yolo County, CA",38.6202,-121.8556
,"Yuba County, CA",6115.0,70.57,51.07,88.94,"Yuba County, CA",39.2797,-121.4381
,"Adams County, CO",8001.0,63.41,43.05,85.29,"Adams County, CO",39.8701,-104.1631
,"Alamosa County, CO",8003.0,57.31,38.6,81.27,"Alamosa County, CO",37.5466,-105.7781
,"Arapahoe County, CO",8005.0,62.12,42.39,84.18,"Arapahoe County, CO",39.6519,-104.2834
,"Archuleta County, CO",8007.0,51.99,35.06,80.85,"Archuleta County, CO",37.2108,-107.0588
,"Baca County, CO",8009.0,68.18,46.72,87.01,"Baca County, CO",37.3182,-102.5627
,"Bent County, CO",8011.0,68.31,46.63,87.51,"Bent County, CO",37.9496,-103.0698
,"Boulder County, CO",8013.0,56.17,37.03,83.83,"Boulder County, CO",40.088,-105.3448
,"Chaffee County, CO",8015.0,45.25,27.68,79.7,"Chaffee County, CO",38.7407,-106.1828
,"Cheyenne County, CO",8017.0,65.22,44.39,86.5,"Cheyenne County, CO",38.8243,-102.6046
,"Clear Creek County, CO",8019.0,42.04,24.62,79.45,"Clear Creek County, CO",39.709,-105.66
,"Conejos County, CO",8021.0,51.83,33.95,80.95,"Conejos County, CO",37.1987,-106.1713
,"Costilla County, CO",8023.0,52.15,34.14,80.69,"Costilla County, CO",37.3277,-105.4554
,"Crowley County, CO",8025.0,67.43,45.51,87.03,"Crowley County, CO",38.298,-103.7784
,"Custer County, CO",8027.0,51.13,32.94,80.85,"Custer County, CO",38.0776,-105.3443
,"Delta County, CO",8029.0,56.92,38.24,83.13,"Delta County, CO",38.9419,-107.804
,"Denver County, CO",8031.0,63.3,43.14,84.39,"Denver County, CO",39.7644,-104.9549
,"Dolores County, CO",8033.0,50.6,34.45,81.02,"Dolores County, CO",37.6906,-108.5063
,"Douglas County, CO",8035.0,57.53,38.19,81.81,"Douglas County, CO",39.3483,-104.9202
,"Eagle County, CO",8037.0,46.6,28.7,80.04,"Eagle County, CO",39.6378,-106.6461
,"Elbert County, CO",8039.0,60.51,41.18,83.17,"Elbert County, CO",39.2151,-104.189
,"El Paso County, CO",8041.0,60.3,41.26,83.18,"El Paso County, CO",38.8296,-104.5628
,"Fremont County, CO",8043.0,56.32,36.8,82.5,"Fremont County, CO",38.4842,-105.4521
,"Garfield County, CO",8045.0,51.33,33.77,81.36,"Garfield County, CO",39.7184,-107.5261
,"Gilpin County, CO",8047.0,48.2,30.14,79.47,"Gilpin County, CO",39.8421,-105.5153
,"Grand County, CO",8049.0,44.83,27.46,79.65,"Grand County, CO",40.0863,-106.1362
,"Gunnison County, CO",8051.0,46.1,28.94,79.65,"Gunnison County, CO",38.7039,-106.9748
,"Hinsdale County, CO",8053.0,41.9,24.86,79.63,"Hinsdale County, CO",37.7857,-107.2992
,"Huerfano County, CO",8055.0,57.4,38.41,82.52,"Huerfano County, CO",37.655,-104.9059
,"Jackson County, CO",8057.0,45.8,28.09,79.48,"Jackson County, CO",40.664,-106.3228
,"Jefferson County, CO",8059.0,57.1,37.83,82.65,"Jefferson County, CO",39.5234,-105.2388
,"Kiowa County, CO",8061.0,66.81,45.13,87.25,"Kiowa County, CO",38.4377,-102.7755
,"Kit Carson County, CO",8063.0,64.15,43.81,86.25,"Kit Carson County, CO",39.3162,-102.6018
,"Lake County, CO",8065.0,39.29,22.54,Missing,"Lake County, CO",39.2184,-106.3357
,"La Plata County, CO",8067.0,53.36,36.99,81.54,"La Plata County, CO",37.3197,-107.8468
,"Larimer County, CO",8069.0,51.29,33.73,83.02,"Larimer County, CO",40.6291,-105.4465
,"Las Animas County, CO",8071.0,63.24,43.4,84.25,"Las Animas County, CO",37.4062,-103.9173
,"Lincoln County, CO",8073.0,63.59,43.5,84.97,"Lincoln County, CO",39.0461,-103.442
,"Logan County, CO",8075.0,63.15,42.26,86.5,"Logan County, CO",40.7182,-103.1125
,"Mesa County, CO",8077.0,56.75,38.53,83.25,"Mesa County, CO",38.9347,-108.5839
,"Mineral County, CO",8079.0,43.25,25.74,78.6,"Mineral County, CO",37.6844,-106.9202
,"Moffat County, CO",8081.0,54.32,37.63,81.77,"Moffat County, CO",40.6098,-108.1812
,"Montezuma County, CO",8083.0,58.42,42.29,83.11,"Montezuma County, CO",37.3197,-108.6287
,"Montrose County, CO",8085.0,56.48,39.07,82.3,"Montrose County, CO",38.4125,-108.2803
,"Morgan County, CO",8087.0,64.0,42.62,86.55,"Morgan County, CO",40.2687,-103.8108
,"Otero County, CO",8089.0,68.19,46.59,87.23,"Otero County, CO",37.9522,-103.7289
,"Ouray County, CO",8091.0,48.14,31.26,80.45,"Ouray County, CO",38.1129,-107.7265
,"Park County, CO",8093.0,46.45,27.88,79.28,"Park County, CO",39.1322,-105.7895
,"Phillips County, CO",8095.0,63.48,42.51,87.35,"Phillips County, CO",40.5979,-102.3585
,"Pitkin County, CO",8097.0,43.32,26.42,79.52,"Pitkin County, CO",39.1721,-106.9304
,"Prowers County, CO",8099.0,68.49,45.9,88.23,"Prowers County, CO",37.9638,-102.3926
,"Pueblo County, CO",8101.0,66.03,45.97,85.84,"Pueblo County, CO",38.1295,-104.5533
,"Rio Blanco County, CO",8103.0,53.43,36.84,81.74,"Rio Blanco County, CO",39.9282,-108.1848
,"Rio Grande County, CO",8105.0,50.99,32.51,80.96,"Rio Grande County, CO",37.6147,-106.3753
,"Routt County, CO",8107.0,48.17,31.07,80.43,"Routt County, CO",40.4633,-107.0432
,"Saguache County, CO",8109.0,49.61,31.23,80.72,"Saguache County, CO",38.1037,-106.3318
,"San Juan County, CO",8111.0,39.04,22.95,Missing,"San Juan County, CO",37.8024,-107.6462
,"San Miguel County, CO",8113.0,52.06,35.63,81.87,"San Miguel County, CO",37.9642,-108.4124
,"Sedgwick County, CO",8115.0,63.21,42.17,87.34,"Sedgwick County, CO",40.8728,-102.3517
,"Summit County, CO",8117.0,41.18,24.14,Missing,"Summit County, CO",39.6418,-106.0037
,"Teller County, CO",8119.0,50.28,30.86,79.47,"Teller County, CO",38.8999,-105.1784
,"Washington County, CO",8121.0,63.12,42.79,85.86,"Washington County, CO",40.0163,-103.1328
,"Weld County, CO",8123.0,62.76,42.27,85.45,"Weld County, CO",40.502,-104.5459
,"Yuma County, CO",8125.0,64.32,43.28,87.36,"Yuma County, CO",40.0165,-102.4226
,"Fairfield County, CT",9001.0,58.15,43.58,88.46,"Fairfield County, CT",41.3271,-73.3274
,"Hartford County, CT",9003.0,57.31,42.6,88.67,"Hartford County, CT",41.7924,-72.744
,"Litchfield County, CT",9005.0,55.25,40.73,87.59,"Litchfield County, CT",41.7615,-73.2599
,"Middlesex County, CT",9007.0,56.76,44.03,88.21,"Middlesex County, CT",41.4527,-72.5231
,"New Haven County, CT",9009.0,57.34,43.68,88.34,"New Haven County, CT",41.4087,-72.9095
